series_id,group_id,currency_to_sek,date,currency,currency_description,source
SEKETT,130,1.0,2023-12-13,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.277,2023-12-13,EUR,Euroland euro,Sveriges Riksbank
SEKDKKPMI,130,1.5124,2023-12-13,DKK,Danish krone,Sveriges Riksbank
SEKGBPPMI,130,13.129,2023-12-12,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.5129,2023-12-12,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.442,2023-12-12,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-12-12,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.2815,2023-12-12,EUR,Euroland euro,Sveriges Riksbank
SEKUSDPMI,130,10.502,2023-12-11,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-12-11,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.297,2023-12-11,EUR,Euroland euro,Sveriges Riksbank
SEKGBPPMI,130,13.2005,2023-12-11,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.5151,2023-12-11,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.4278,2023-12-08,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.5073,2023-12-08,DKK,Danish krone,Sveriges Riksbank
SEKETT,130,1.0,2023-12-08,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.238,2023-12-08,EUR,Euroland euro,Sveriges Riksbank
SEKGBPPMI,130,13.1147,2023-12-08,GBP,pound sterling,Sveriges Riksbank
SEKUSDPMI,130,10.45,2023-12-07,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.1262,2023-12-07,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.5098,2023-12-07,DKK,Danish krone,Sveriges Riksbank
SEKEURPMI,130,11.2557,2023-12-07,EUR,Euroland euro,Sveriges Riksbank
SEKETT,130,1.0,2023-12-07,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKETT,130,1.0,2023-12-06,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.207,2023-12-06,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.5165,2023-12-06,DKK,Danish krone,Sveriges Riksbank
SEKUSDPMI,130,10.4904,2023-12-06,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.3065,2023-12-06,EUR,Euroland euro,Sveriges Riksbank
SEKDKKPMI,130,1.5168,2023-12-05,DKK,Danish krone,Sveriges Riksbank
SEKETT,130,1.0,2023-12-05,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.3095,2023-12-05,EUR,Euroland euro,Sveriges Riksbank
SEKGBPPMI,130,13.1931,2023-12-05,GBP,pound sterling,Sveriges Riksbank
SEKUSDPMI,130,10.4553,2023-12-05,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-12-04,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.321,2023-12-04,EUR,Euroland euro,Sveriges Riksbank
SEKUSDPMI,130,10.4168,2023-12-04,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.5183,2023-12-04,DKK,Danish krone,Sveriges Riksbank
SEKGBPPMI,130,13.1962,2023-12-04,GBP,pound sterling,Sveriges Riksbank
SEKDKKPMI,130,1.5255,2023-12-01,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.3715,2023-12-01,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-12-01,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.2158,2023-12-01,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.4566,2023-12-01,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.235,2023-11-30,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.4572,2023-11-30,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.4308,2023-11-30,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-30,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5334,2023-11-30,DKK,Danish krone,Nasdaq
SEKDKKPMI,130,1.5242,2023-11-29,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-11-29,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.3464,2023-11-29,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.3655,2023-11-29,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.1355,2023-11-29,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5334,2023-11-28,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.433,2023-11-28,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.1686,2023-11-28,GBP,pound sterling,Nasdaq
SEKETT,130,1.0,2023-11-28,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.442,2023-11-28,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-11-27,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.1774,2023-11-27,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.4292,2023-11-27,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.5319,2023-11-27,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.421,2023-11-27,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.1412,2023-11-24,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5329,2023-11-24,DKK,Danish krone,Nasdaq
SEKUSDPMI,130,10.4791,2023-11-24,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.4289,2023-11-24,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-24,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.0783,2023-11-23,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.494,2023-11-23,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-11-23,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.398,2023-11-23,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.5288,2023-11-23,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.4303,2023-11-22,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.1284,2023-11-22,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.439,2023-11-22,USD,US dollar,Sveriges Riksbank
SEKDKKPMI,130,1.5334,2023-11-22,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-11-22,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5266,2023-11-21,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.0207,2023-11-21,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.4099,2023-11-21,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.3827,2023-11-21,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-21,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKETT,130,1.0,2023-11-20,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.4559,2023-11-20,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,10.4566,2023-11-20,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.0915,2023-11-20,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5365,2023-11-20,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.1136,2023-11-17,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.538,2023-11-17,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.4711,2023-11-17,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-17,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.5602,2023-11-17,USD,US dollar,Sveriges Riksbank
SEKEURPMI,130,11.4352,2023-11-16,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-16,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.5906,2023-11-16,USD,US dollar,Sveriges Riksbank
SEKGBPPMI,130,13.049,2023-11-16,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5331,2023-11-16,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.4992,2023-11-15,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.1859,2023-11-15,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5418,2023-11-15,DKK,Danish krone,Nasdaq
SEKUSDPMI,130,10.5364,2023-11-15,USD,US dollar,Sveriges Riksbank
SEKETT,130,1.0,2023-11-15,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.3363,2023-11-14,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.8532,2023-11-14,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-11-14,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5575,2023-11-14,DKK,Danish krone,Nasdaq
SEKEURPMI,130,11.6181,2023-11-14,EUR,Euroland euro,Nasdaq
SEKEURPMI,130,11.6474,2023-11-13,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-11-13,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.3333,2023-11-13,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5615,2023-11-13,DKK,Danish krone,Nasdaq
